,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
552,8182,Continuous issue with CRA and finally got a representative on the phone while looking through my CRA account to assist me and the call got dropped from CRA end.,Q4,3/14/2018,Submit documents,Once per month or more,Very dissatisfied,,Yes,Female,Ontario,Prefer not to say,35 to 49,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,4.0,0.707099974155426,"information, account, date, look, available, access, wait, tell, instalment, get","['continuous', 'issue', 'finally', 'get', 'representative', 'phone', 'look', 'account', 'assist', 'get', 'drop', 'end']",4.0,0.0,13.0
553,8226,For the past several days  Ihave  tried  to  use change  my  return. CRA  web  site indicate  they I should have been  able to  do tis on  Monday Marhc 12. Still can't do it today.,Q4,3/15/2018,Other,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,University graduate,Prefer not to say,French,Retired,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.5059999823570251,"find, tax, change, return, mail, try, month, send, need, year","['past', 'day', 'try', 'use', 'change', 'return', 'web_site', 'indicate', 'able', 'monday', 'march', 'today']",5.0,8.0,13.0
554,8237,Documents submitted several weeks ago still not updated,Q4,3/15/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Female,Ontario,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.41440001130104065,"receive, document, site, submit, reassessment, login, email, go, option, letter","['document', 'submit', 'weeks_ago', 'update']",3.0,8.0,5.0
555,8323,My return has been processing for two weeks with no explanation why it is taking so long to complete and send me my refund?,Q4,3/16/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.45239999890327454,"find, tax, change, return, mail, try, month, send, need, year","['return', 'processing', 'week', 'explanation', 'taking_long', 'complete', 'send', 'refund']",5.0,3.0,0.0
556,8327,lack of information   No better on the phone,Q4,3/16/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Male,Northwest Territories,College/vocational/technical school,18 to 34,Other,Retired,"$120,000 and over",No,No,Yes,Desktop or laptop computer,4.0,0.7225000262260437,"information, account, date, look, available, access, wait, tell, instalment, get","['lack', 'information', 'well', 'phone']",4.0,1.0,2.0
557,8345,i had questions about our t5008 form  I did not get the answer so i need to hire an accountant to get my answers,Q4,3/16/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Female,Ontario,Some university,55 to 64,English,Retired,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,0.0,0.4390000104904175,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['question', 'form', 'answer', 'need', 'hire', 'accountant', 'answer']",0.0,5.0,13.0
558,8412,"It seems a lot of duplication,also trying to register for a business which is proving to be a so difficult.",Q4,3/17/2018,Online mail,This was my first visit,Somewhat dissatisfied,"Sign-in Partner (i.e. the same sign-in you use for other online services, e.g. online banking)",Yes,Female,Ontario,College/vocational/technical school,65 or older,English,Retired,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,13.0,0.41449999809265137,"time, say, log, page, error, assessment, ask, work, add, thing","['lot', 'duplication', 'try', 'register', 'business', 'prove', 'difficult']",13.0,8.0,5.0
559,8417,Specific info on status not available,Q4,3/17/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Northwest Territories,University graduate,18 to 34,English,Prefer not to say,Prefer not to say,No,No,No,Smartphone,4.0,0.41449999809265137,"information, account, date, look, available, access, wait, tell, instalment, get","['specific', 'information', 'status', 'available']",4.0,5.0,3.0
560,8429,A letter was sent to the wrong address on Aug 8/17.  I only recently received a copy and it still hasn't been posted in correspondence.,Q4,3/17/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Ontario,Post-graduate degree,55 to 64,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.5072000026702881,"receive, document, site, submit, reassessment, login, email, go, option, letter","['letter', 'send', 'wrong', 'address', 'aug', '8/17', 'recently', 'receive', 'copy', 'post', 'correspondence']",3.0,5.0,
561,8437,RC62 slips are not yet available,Q4,3/17/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Female,Alberta,University graduate,35 to 49,Other,Working part-time (less than 35 hours per week),"$60,000 to under $80,000",No,No,Yes,Desktop or laptop computer,4.0,0.690500020980835,"information, account, date, look, available, access, wait, tell, instalment, get","['rcd', 'slip', 'available']",4.0,1.0,2.0
562,8472,It has been taking longer then usual for updated information,Q4,3/18/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,Some university,35 to 49,English,A student attending school full-time,"$20,000 to under $40,000",Yes,Yes,No,Smartphone,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['take', 'long', 'usual', 'update', 'information']",5.0,8.0,4.0
563,8481,Couldn't find UCCB for 2017 for income tax purposes,Q4,3/18/2018,Benefits and tax credits information,Once or twice per year,Very dissatisfied,,No,Female,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.614799976348877,"find, tax, change, return, mail, try, month, send, need, year","['find', 'acc', 'income', 'tax', 'purpose']",5.0,13.0,0.0
564,8506,today march 2018 i opened a mail from oct 2017 saying i now owe money on 2016 taxes,Q4,3/18/2018,Tax returns,Once or twice per year,Somewhat satisfied,,No,Male,Ontario,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,13.0,0.2590000033378601,"time, say, log, page, error, assessment, ask, work, add, thing","['today', 'march', 'open', 'mail', 'oct', 'say', 'owe_money', 'taxis']",13.0,8.0,5.0
565,8519,"however hard to not use the back arrow key. When it is used, have to start all over again to sign in.",Q4,3/19/2018,Other,Once or twice per year,Very satisfied,,No,Male,Ontario,Some university,65 or older,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,Yes,No,Desktop or laptop computer,3.0,0.2680000066757202,"receive, document, site, submit, reassessment, login, email, go, option, letter","['hard', 'use', 'arrow', 'key', 'start', 'sign']",3.0,4.0,5.0
566,8525,I couldn't find any efile info as to why I can't file my 2016/17 tax returns.,Q4,3/19/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Alberta,College/vocational/technical school,35 to 49,English,Self-employed,"Under $20,000",Yes,No,Yes,Desktop or laptop computer,5.0,0.7245000004768372,"find, tax, change, return, mail, try, month, send, need, year","['find', 'file', 'information', 'file', '2016/17', 'tax', 'return']",5.0,4.0,0.0
567,8559,The information that is missing is holding up completion of my 2017 return.,Q4,3/19/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Ontario,University graduate,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.614300012588501,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'miss', 'hold', 'completion', 'return']",4.0,5.0,0.0
568,8592,"I was told my assessment would be ready for today March 19th, 2018. Now i find out it might not be ready until April 16th, 2018. My wife and I did our taxes on the same day. She already has her return",Q4,3/19/2018,Tax returns,Prefer not to say,Very dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",Prefer not to say,Prefer not to say,Prefer not to say,Smartphone,5.0,0.3700999915599823,"find, tax, change, return, mail, try, month, send, need, year","['tell', 'assessment', 'ready', 'today', 'march', '19th', 'find', 'ready', 'april', '16th', 'wife', 'taxis', 'day', 'return']",5.0,13.0,4.0
569,8605,RRSP Info not available,Q4,3/19/2018,RRSP and TFSA,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Ontario,University graduate,55 to 64,English,"Unemployed, but looking for work","$120,000 and over",Yes,No,No,Desktop or laptop computer,4.0,0.7678999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['resp', 'information', 'available']",4.0,0.0,1.0
570,8622,My T4 and other tax slips are still not available,Q4,3/19/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Male,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,Yes,Desktop or laptop computer,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['tax', 'slip', 'available']",4.0,5.0,0.0
571,8661,It's very difficult to get help from someone at the CRA.,Q4,3/20/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Alberta,Prefer not to say,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,8.0,0.690500020980835,"update, payment, pay, online, credit, want, balance, check, owe, show","['difficult', 'help']",8.0,0.0,1.0
572,8666,I made a payment on a reassessment in January and I am still getting charged interest on it.,Q4,3/20/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,High school graduate,65 or older,English,Retired,Prefer not to say,No,No,No,Tablet,8.0,0.2150000035762787,"update, payment, pay, online, credit, want, balance, check, owe, show","['payment', 'reassessment', 'january', 'get', 'charged_interest']",8.0,3.0,4.0
573,8700,Kept getting kicked out and saying the system was not working,Q4,3/21/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Alberta,High school graduate,18 to 34,English,Self-employed,"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,13.0,0.6154999732971191,"time, say, log, page, error, assessment, ask, work, add, thing","['kept_getting', 'kick', 'say', 'system', 'work']",13.0,5.0,0.0
574,8729,"I was looking for my T4A-RCA statement for 2016, and I do not see it listed.",Q4,3/21/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Ontario,Post-graduate degree,65 or older,English,Retired,"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['look', 'tea', 'ria', 'statement', 'list']",4.0,3.0,1.0
575,8745,I can not sign in on the first try consistently.,Q4,3/21/2018,Other,This was my first visit,Somewhat dissatisfied,CRA user ID and password,Yes,Female,Alberta,University graduate,55 to 64,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.3571999967098236,"find, tax, change, return, mail, try, month, send, need, year","['sign', 'try', 'consistently']",5.0,4.0,1.0
576,8764,Could not find what I was searching for.,Q4,3/22/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Prefer not to say,British Columbia,Post-graduate degree,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,5.0,0.3571000099182129,"find, tax, change, return, mail, try, month, send, need, year","['find', 'search']",5.0,10.0,0.0
577,8765,"We submitted via Efile our return a week ago, still showing file not received.",Q4,3/22/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Male,Alberta,College/vocational/technical school,65 or older,English,Retired,"$40,000 to under $60,000",No,Yes,Yes,Desktop or laptop computer,5.0,0.45239999890327454,"find, tax, change, return, mail, try, month, send, need, year","['submit', 'file', 'return', 'week', 'ago', 'show', 'file', 'receive']",5.0,3.0,8.0
578,8768,Was not able to complete the task I was trying to do and now I need to phone the CRA at a later time as they are not currently open,Q4,3/22/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Yes,Male,Alberta,High school graduate,35 to 49,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.5134000182151794,"find, tax, change, return, mail, try, month, send, need, year","['able', 'complete', 'task', 'try', 'need', 'phone', 'late', 'time', 'currently', 'open']",5.0,13.0,4.0
579,8822,"Login process is very finicky. Website is not available for login most of the time. After login, website is really slow.",Q4,3/22/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,Yes,Desktop or laptop computer,4.0,0.40709999203681946,"information, account, date, look, available, access, wait, tell, instalment, get","['login', 'process', 'finicky', 'website', 'available', 'login', 'time', 'login', 'website', 'slow']",4.0,3.0,13.0
580,8842,"longest i've had to wait for my return, and no approx date when i'll get it",Q4,3/22/2018,Tax returns,Once or twice per year,Very dissatisfied,,Yes,Male,Alberta,Some high school,55 to 64,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['long', 'wait', 'return', 'approx', 'date']",4.0,5.0,0.0
581,8911,I wanted to check the status of my tax return. Found it is in process - but would have liked to see when it was received. I am worried about delays due to the disability credit but no way to check tha,Q4,3/23/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Alberta,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,8.0,0.43369999527931213,"update, payment, pay, online, credit, want, balance, check, owe, show","['want', 'check', 'status', 'tax', 'return', 'find', 'process', 'like', 'receive', 'worried', 'delay', 'disability', 'credit', 'way', 'check']",8.0,5.0,3.0
582,8922,I need to change my return. Called last week and was told I can do it online this week. Same problem.,Q4,3/24/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,College/vocational/technical school,18 to 34,English,A student attending school full-time,"Under $20,000",No,No,Yes,Tablet,8.0,0.40709999203681946,"update, payment, pay, online, credit, want, balance, check, owe, show","['need', 'change', 'return', 'call', 'week', 'tell', 'online', 'week', 'problem']",8.0,5.0,4.0
583,8936,"I was not able to see past GST payment information, only 1 upcoming payment is listed.  Need access to previous payments available online.",Q4,3/24/2018,Benefits and tax credits information,Once every 2 to 3 months,Very dissatisfied,,No,Female,Ontario,College/vocational/technical school,35 to 49,English,Working part-time (less than 35 hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,8.0,0.36230000853538513,"update, payment, pay, online, credit, want, balance, check, owe, show","['able', 'past', 'gst', 'payment', 'information', 'upcome', 'payment', 'list', 'need', 'access', 'previous', 'payment', 'available', 'online']",8.0,4.0,5.0
584,8943,The information for accounts was not available. Just a generic statement that My information was not available ...I could call. Would have preferred an explanation  as to why it is not available.  Can,Q4,3/24/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Prefer not to say,Female,Ontario,University graduate,65 or older,English,Retired,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,4.0,0.7857999801635742,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'account', 'available', 'generic', 'statement', 'information', 'available', 'prefer', 'explanation', 'available']",4.0,3.0,
585,8955,Tax slip was not on the website,Q4,3/24/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Prefer not to say,Male,Ontario,High school graduate,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['tax', 'slip', 'website']",4.0,5.0,0.0
586,8995,Required information not available,Q4,3/24/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,University graduate,55 to 64,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.5178999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['require', 'information', 'available']",4.0,5.0,0.0
587,9025,I didn't find an answer to a question I had about my tax rebate,Q4,3/25/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Nova Scotia,High school graduate,55 to 64,English,Other,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,5.0,0.6905999779701233,"find, tax, change, return, mail, try, month, send, need, year","['find', 'answer_question', 'tax', 'rebate']",5.0,1.0,2.0
588,9032,I'm waiting for a reassessment and initial assessment and nothing is happening and no information is available,Q4,3/25/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Nova Scotia,Some university,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Tablet,4.0,0.58160001039505,"information, account, date, look, available, access, wait, tell, instalment, get","['wait', 'reassessment', 'initial', 'assessment', 'happen', 'information', 'available']",4.0,13.0,3.0
589,9038,Filed for disability tax credit a year  ago and still waiting for decision,Q4,3/25/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,Yes,Female,Prince Edward Island,High school graduate,65 or older,English,Retired,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,5.0,0.508899986743927,"find, tax, change, return, mail, try, month, send, need, year","['file', 'disability', 'tax', 'credit', 'year', 'ago', 'wait', 'decision']",5.0,8.0,4.0
590,9088,In previous years I remember being able to download PDF files of my tax slips. I could not seem to find the downloads. Instead they are re-entered onto the site and not the actual forms.,Q4,3/25/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Male,British Columbia,College/vocational/technical school,18 to 34,English,Working full-time (35+ hours per week),"Under $20,000",No,No,No,Desktop or laptop computer,5.0,0.5120999813079834,"find, tax, change, return, mail, try, month, send, need, year","['previous_years', 'member', 'able', 'download_pdf', 'file', 'tax', 'slip', 'find', 'download', 'instead', 'enter', 'site', 'actual', 'form']",5.0,3.0,4.0
591,9132,"Again payment was made last week but is not reflected here, and the length of time it took to update the account. Even though I was told last week that my taxes were correct and the agent couldn't und",Q4,3/26/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Alberta,Some high school,50 to 54,English,Retired,"$80,000 to under $100,000",No,Yes,No,Desktop or laptop computer,8.0,0.3393000066280365,"update, payment, pay, online, credit, want, balance, check, owe, show","['payment', 'week', 'reflect', 'length_time', 'take', 'update', 'account', 'tell', 'week', 'taxis', 'correct', 'agent']",8.0,4.0,5.0
592,9143,I have been waiting 6 months to receive payment,Q4,3/26/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,Post-graduate degree,65 or older,Other,Retired,"$20,000 to under $40,000",No,Yes,,Desktop or laptop computer,3.0,0.2143000066280365,"receive, document, site, submit, reassessment, login, email, go, option, letter","['wait', 'month', 'receive', 'payment']",3.0,8.0,4.0
593,9203,Was not able to access mail it says I have.,Q4,3/27/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$60,000 to under $80,000",No,Prefer not to say,No,Tablet,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['able', 'access', 'mail', 'say']",5.0,13.0,4.0
594,9214,Because it's been a month and my tax return is not processed,Q4,3/27/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Smartphone,5.0,0.814300000667572,"find, tax, change, return, mail, try, month, send, need, year","['month', 'tax', 'return', 'process']",5.0,0.0,1.0
595,9236,Could not find the correspondence I was looking for,Q4,3/27/2018,Other,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,55 to 64,English,Retired,"$120,000 and over",No,Prefer not to say,Prefer not to say,Desktop or laptop computer,5.0,0.517799973487854,"find, tax, change, return, mail, try, month, send, need, year","['find', 'correspondence', 'look']",5.0,4.0,0.0
596,9264,no explanation as to why I have on reserve income,Q4,3/28/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,No,Male,Ontario,Some high school,18 to 34,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Yes,Prefer not to say,Yes,Desktop or laptop computer,3.0,0.3571999967098236,"receive, document, site, submit, reassessment, login, email, go, option, letter","['explanation', 'reserve', 'income']",3.0,5.0,1.0
597,9270,"I filed my 2017 taxes online over a month ago.  It is still ""being processed"".  My other family members filed the same day and have their refunds already.",Q4,3/28/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,University graduate,55 to 64,English,Retired,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,5.0,0.5131000280380249,"find, tax, change, return, mail, try, month, send, need, year","['file', 'taxis', 'online', 'month_ago', 'process', 'family', 'member', 'file', 'day', 'refund']",5.0,8.0,3.0
598,9289,"I was not able to find out why my tax return is taking so long to be ""processed""",Q4,3/28/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.7245000004768372,"find, tax, change, return, mail, try, month, send, need, year","['able', 'find', 'tax', 'return', 'taking_long', 'process']",5.0,0.0,1.0
599,9292,issue has not been solved in over 10 months (T1 adjustment),Q4,3/28/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Ontario,University graduate,35 to 49,English,Self-employed,Prefer not to say,No,No,Yes,Desktop or laptop computer,0.0,0.26809999346733093,"answer, question, unclear, issue, people, security_question, taking_long, mark, little, room","['issue', 'solve', 'month', 'adjustment']",0.0,5.0,8.0
600,9296,The process is long and not transparent. Information not adequately relayed to have refunds processed.,Q4,3/28/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,Post-graduate degree,18 to 34,English,A student attending school full-time,"Under $20,000",No,No,Yes,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['process', 'long', 'transparent', 'information', 'adequately', 'relay', 'refund', 'process']",5.0,3.0,4.0
601,9302,said I had unread message and could not find an unread message,Q4,3/28/2018,Online mail,Once or twice per year,Very dissatisfied,,No,Male,Ontario,Prefer not to say,Prefer not to say,English,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,4.0,0.41429999470710754,"information, account, date, look, available, access, wait, tell, instalment, get","['say', 'unread', 'message', 'find', 'unread', 'message']",4.0,13.0,5.0
602,9308,No additional information about tax return. No ability to check on progress.,Q4,3/28/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Alberta,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,Yes,Smartphone,5.0,0.43880000710487366,"find, tax, change, return, mail, try, month, send, need, year","['additional', 'information', 'tax', 'return', 'ability', 'check', 'progress']",5.0,4.0,8.0
603,9361,Because i have been waiting over a year and a half for my reassesments to be completed and they still arent done,Q4,3/29/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Ontario,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"Under $20,000",No,Yes,No,Smartphone,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['wait', 'year', 'half', 'reassessment', 'complete']",5.0,3.0,4.0
604,9366,I have made many attempts to try to get to the details of my Accounts and Payments.  This website does not work for me anymore and has been reported,Q4,3/29/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Prefer not to say,Male,Alberta,University graduate,65 or older,English,Retired,"$60,000 to under $80,000",No,No,Prefer not to say,Desktop or laptop computer,4.0,0.383899986743927,"information, account, date, look, available, access, wait, tell, instalment, get","['attempt', 'try', 'detail', 'account', 'payment', 'website', 'work', 'anymore', 'report']",4.0,13.0,8.0
605,9406,Am disappointed that my account insists the return was received yet my account says it was not for 2017,Q4,3/29/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,High school graduate,50 to 54,English,Not in the workforce,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.34529998898506165,"information, account, date, look, available, access, wait, tell, instalment, get","['disappointed', 'account', 'insist', 'return', 'receive', 'account', 'say']",4.0,13.0,3.0
606,9467,"System doesn't show when refund will be issued, does not match what I am told on phone",Q4,3/30/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Male,Ontario,University graduate,55 to 64,English,Self-employed,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,4.0,0.34549999237060547,"information, account, date, look, available, access, wait, tell, instalment, get","['system', 'refund', 'issue', 'match', 'tell', 'phone']",4.0,0.0,3.0
607,9473,a T5 is not listed yet,Q4,3/30/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,3.0,0.5357000231742859,"receive, document, site, submit, reassessment, login, email, go, option, letter",['list'],3.0,0.0,1.0
608,9480,I was not able to use change my return.,Q4,3/30/2018,Other,Once per month or more,Very dissatisfied,,No,Male,Ontario,University graduate,Prefer not to say,French,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,5.0,0.614300012588501,"find, tax, change, return, mail, try, month, send, need, year","['able', 'use', 'change', 'return']",5.0,3.0,0.0
609,9510,"my tax return has been in the ""being processed"" state for an unreasonable amount of time again this year",Q4,3/30/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Newfoundland and Labrador,Some university,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.58160001039505,"find, tax, change, return, mail, try, month, send, need, year","['tax', 'return', 'process', 'state', 'unreasonable', 'time', 'year']",5.0,13.0,4.0
610,9533,It is taking too long to update my account.,Q4,3/30/2018,Accounts and payments,Prefer not to say,Very dissatisfied,,No,Female,British Columbia,High school graduate,35 to 49,English,"Unemployed, but looking for work","$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.2678999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['taking_long', 'update', 'account']",4.0,8.0,0.0
611,9566,The information is limited when your situation is more complex then just viewing returns or mail. Only some information is there and more detailed information must be found by calling.,Q4,3/30/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,Some university,35 to 49,English,Working full-time (35+ hours per week),"$100,000 to under $120,000",No,No,Yes,Smartphone,4.0,0.5072000026702881,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'limited', 'situation', 'complex', 'view', 'return', 'mail', 'information', 'detail', 'information', 'find', 'call']",4.0,5.0,8.0
612,9603,"No updates provided and no information on the site I was looking for, now I will need to call.",Q4,3/31/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,Yes,No,Smartphone,3.0,0.34529998898506165,"receive, document, site, submit, reassessment, login, email, go, option, letter","['updates', 'provide', 'information', 'site', 'look', 'need']",3.0,4.0,5.0
613,9618,Not happy with long it is taking for reassessment when all information sent for revision,Q4,3/31/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Nova Scotia,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Prefer not to say,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['happy', 'long', 'take', 'reassessment', 'information', 'send', 'revision']",5.0,3.0,4.0
