,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic_final,Second_Topic,Third_Topic
2391,38668,Your people made an error in my refund in May 2018 and I am still waiting to find out how much I have to pay back. My account does not even show a reassessment.,Q2,8/23/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Female,Nova Scotia,Some university,55 to 64,English,Working part-time (less than 35 hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,3.0,0.34119999408721924,"receive, document, site, submit, reassessment, login, email, go, option, letter","['people', 'error', 'refund', 'waiting', 'find', 'pay', 'account', 'reassessment']",3.0,4.0,5.0
2392,38689,Processing delays or tax returns are far beyond being even remotely reasonable.,Q2,8/23/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,I currently live outside of Canada,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['processing', 'delay', 'tax', 'return', 'far', 'remotely', 'reasonable']",5.0,8.0,13.0
2393,38694,I overpaid on taxes I owed and when I phoned CRA I was told they put a request in for the money back approx $148 my month is not good money wise and it would realy help but I do not know your plans,Q2,8/23/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,High school graduate,65 or older,English,Retired,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,8.0,0.3702000081539154,"update, payment, pay, online, credit, want, balance, check, owe, show","['overpay', 'taxis', 'owe', 'phone', 'tell', 'request', 'money', 'approx', 'month', 'good', 'money', 'wise', 'real', 'help', 'know', 'plan']",8.0,4.0,5.0
2394,38695,Process was more difficult then it needed to be. Submitted what I needed to but still owe money back which will probably be given back to me anyway.,Q2,8/23/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,University graduate,18 to 34,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.383899986743927,"find, tax, change, return, mail, try, month, send, need, year","['process', 'difficult', 'need', 'submit', 'need', 'owe_money', 'probably', 'give']",5.0,8.0,3.0
2395,38696,Because i did not find explanation about what happened with my Alberta climate leadership adjustment rebate and why this year my husband is receiving the GST and no I. Thank you.,Q2,8/23/2018,Benefits and tax credits information,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Alberta,Post-graduate degree,18 to 34,Other,A student attending school full-time,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,5.0,0.25949999690055847,"find, tax, change, return, mail, try, month, send, need, year","['find', 'explanation', 'happen', 'alberta', 'climate', 'leadership', 'adjustment', 'rebate', 'year', 'husband', 'receiving', 'gst', 'thank']",5.0,13.0,3.0
2396,38712,My 2017 income tax was reassert on Aug 14. I had to apply for code to log in. Very difficult to find info directing me how to pay what I owe.,Q2,8/23/2018,Accounts and payments,This was my first visit,Very dissatisfied,CRA user ID and password,Yes,Female,Ontario,University graduate,55 to 64,English,Other,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,8.0,0.2363000065088272,"update, payment, pay, online, credit, want, balance, check, owe, show","['income', 'tax', 'reassert', 'aug', 'apply', 'code', 'log', 'difficult', 'find', 'information', 'direct', 'pay', 'owe']",8.0,5.0,13.0
2397,38715,Not all letters sent to me are available to view online. Documents I submitted aren't recorded for reference.Status of reassessment changes without any explanation of why or how long to process,Q2,8/23/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Female,Alberta,Some university,35 to 49,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,3.0,0.33809998631477356,"receive, document, site, submit, reassessment, login, email, go, option, letter","['letter', 'send', 'available', 'view', 'online', 'document', 'submit', 'record', 'reference', 'status', 'reassessment', 'change', 'explanation', 'long', 'process']",3.0,5.0,8.0
2398,38718,After logging in i was advised an ERR had occurred.. not an error per se BUT a ERR screen was the outcome HOWEVER i hit another key and the log in occurred.,Q2,8/23/2018,Other,Once per month or more,Somewhat dissatisfied,,Yes,Prefer not to say,Ontario,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,13.0,0.6147000193595886,"time, say, log, page, error, assessment, ask, work, add, thing","['log', 'advise', 'err', 'occur', 'error', 'err', 'screen', 'outcome', 'hit', 'key', 'log', 'occur']",13.0,3.0,1.0
2399,38727,my information was unavailable and it was suggested I call; 2nd time that has been the case in the last couple of months,Q2,8/23/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Male,Ontario,High school graduate,65 or older,English,Working part-time (less than 35 hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,13.0,0.34540000557899475,"time, say, log, page, error, assessment, ask, work, add, thing","['information', 'unavailable', 'suggest', '2nd', 'time', 'case', 'couple', 'month']",13.0,4.0,5.0
2400,38742,"The login is below the scroll, should be top right like almost all webpages. When the services are unavailable, they don't tell you until you've gone through the long process of logging in.",Q2,8/23/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,I currently live outside of Canada,University graduate,35 to 49,English,Working part-time (less than 35 hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,3.0,0.30720001459121704,"receive, document, site, submit, reassessment, login, email, go, option, letter","['login', 'scroll', 'right', 'webpage', 'service', 'unavailable', 'tell', 'go', 'long', 'process', 'log']",3.0,5.0,13.0
2401,38743,Even though my account was up to date and current my account is always locked and Have to call anyways.,Q2,8/23/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Male,Alberta,College/vocational/technical school,55 to 64,English,Self-employed,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.814300000667572,"information, account, date, look, available, access, wait, tell, instalment, get","['account', 'date', 'current', 'account', 'lock', 'anyways']",4.0,1.0,2.0
2402,38767,Submitted documentation and no update for review,Q2,8/23/2018,Online mail,Once per month or more,Somewhat dissatisfied,,Yes,Male,British Columbia,College/vocational/technical school,55 to 64,English,Working full-time (35+ hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,3.0,0.41449999809265137,"receive, document, site, submit, reassessment, login, email, go, option, letter","['submit', 'documentation', 'update', 'review']",3.0,8.0,13.0
2403,38791,Everything takes FOREVER with the CRA,Q2,8/24/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Ontario,Post-graduate degree,35 to 49,English,Self-employed,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,5.0,0.5357999801635742,"find, tax, change, return, mail, try, month, send, need, year","['take', 'forever']",5.0,10.0,1.0
2404,38793,information was confusing online,Q2,8/24/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,35 to 49,English,Self-employed,"$120,000 and over",No,No,Yes,Desktop or laptop computer,4.0,0.2678999900817871,"information, account, date, look, available, access, wait, tell, instalment, get","['information', 'confusing', 'online']",4.0,8.0,10.0
2405,38814,Cra processing times are way way way too long,Q2,8/24/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,Some university,35 to 49,English,Not in the workforce,"$120,000 and over",No,Yes,No,Smartphone,5.0,0.41429999470710754,"find, tax, change, return, mail, try, month, send, need, year","['processing', 'time', 'way', 'long']",5.0,13.0,4.0
2406,38822,Because taking much longer the previous years to receive my tax refund.,Q2,8/24/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,I currently live outside of Canada,College/vocational/technical school,65 or older,English,Retired,"Under $20,000",No,No,No,Desktop or laptop computer,5.0,0.511900007724762,"find, tax, change, return, mail, try, month, send, need, year","['take', 'long', 'previous_year', 'receive', 'tax', 'refund']",5.0,3.0,0.0
